,gene_ids
KIF19,ENSG00000196169.15
GPRC5C,ENSG00000170412.18
CD300A,ENSG00000167851.15
CD300LB,ENSG00000178789.9
CD300C,ENSG00000167850.4
CD300H,ENSG00000284690.3
AC064805.1,ENSG00000261222.3
CD300E,ENSG00000186407.7
RAB37,ENSG00000172794.20
CD300LF,ENSG00000186074.19
SLC9A3R1,ENSG00000109062.12
TMEM104,ENSG00000109066.14
KCTD2,ENSG00000180901.11
SLC16A5,ENSG00000170190.16
ARMC7,ENSG00000125449.7
GGA3,ENSG00000125447.18
TMEM94,ENSG00000177728.17
TSEN54,ENSG00000182173.13
LLGL2,ENSG00000073350.14
MYO15B,ENSG00000266714.9
RECQL5,ENSG00000108469.15
SMIM5,ENSG00000204323.5
WBP2,ENSG00000132471.12
FBF1,ENSG00000188878.19
ACOX1,ENSG00000161533.12
UBALD2,ENSG00000185262.9
SPHK1,ENSG00000176170.14
UBE2O,ENSG00000175931.13
RHBDF2,ENSG00000129667.12
MXRA7,ENSG00000182534.13
SNHG20,ENSG00000234912.12
SEC14L1,ENSG00000129657.16
TNRC6C,ENSG00000078687.17
TNRC6C-AS1,ENSG00000204282.4
TMC8,ENSG00000167895.15
TK1,ENSG00000167900.12
BIRC5,ENSG00000089685.15
AC087645.2,ENSG00000267737.1
SOCS3,ENSG00000184557.4
PGS1,ENSG00000087157.19
TIMP2,ENSG00000035862.12
ENGASE,ENSG00000167280.17
CBX4,ENSG00000141582.15
GAA,ENSG00000171298.13
AC087741.1,ENSG00000262580.5
SGSH,ENSG00000181523.13
SLC26A11,ENSG00000181045.15
RNF213,ENSG00000173821.19
NPTX1,ENSG00000171246.6
RPTOR,ENSG00000141564.15
BAIAP2-DT,ENSG00000226137.5
BAIAP2,ENSG00000175866.15
AATK,ENSG00000181409.14
TEPSIN,ENSG00000167302.10
LINC00482,ENSG00000185168.5
AC027601.6,ENSG00000287431.1
BAHCC1,ENSG00000266074.8
PDE6G,ENSG00000185527.12
MAFG,ENSG00000197063.11
AC132872.4,ENSG00000280407.2
AC132872.1,ENSG00000260563.3
CD7,ENSG00000173762.8
SECTM1,ENSG00000141574.8
RAB40B,ENSG00000141542.11
FN3K,ENSG00000167363.14
METRNL,ENSG00000176845.13
TYMS,ENSG00000176890.16
YES1,ENSG00000176105.14
SMCHD1,ENSG00000101596.16
EMILIN2,ENSG00000132205.11
AP005329.3,ENSG00000272688.1
DLGAP1-AS1,ENSG00000177337.8
DLGAP1-AS2,ENSG00000262001.1
EPB41L3,ENSG00000082397.17
L3MBTL4,ENSG00000154655.15
PTPRM,ENSG00000173482.16
NDUFV2-AS1,ENSG00000266053.2
TWSG1,ENSG00000128791.12
PPP4R1,ENSG00000154845.15
RAB31,ENSG00000168461.13
IMPA2,ENSG00000141401.12
SPIRE1,ENSG00000134278.15
AP005482.2,ENSG00000260302.3
ANKRD20A5P,ENSG00000186481.16
ESCO1,ENSG00000141446.11
RIOK3,ENSG00000101782.15
NPC1,ENSG00000141458.13
TTC39C,ENSG00000168234.13
TTC39C-AS1,ENSG00000264745.1
DSC2,ENSG00000134755.17
TRAPPC8,ENSG00000153339.14
RNF125,ENSG00000101695.9
HNRNPA1P7,ENSG00000215492.6
MAPRE2,ENSG00000166974.13
ZNF397,ENSG00000186812.13
ZSCAN30,ENSG00000186814.14
ZNF271P,ENSG00000257267.3
PIK3C3,ENSG00000078142.13
SETBP1,ENSG00000152217.19
SLC14A1,ENSG00000141469.18
EPG5,ENSG00000152223.15
PSTPIP2,ENSG00000152229.18
C18orf25,ENSG00000152242.11
RNF165,ENSG00000141622.14
CTIF,ENSG00000134030.14
SMAD7,ENSG00000101665.9
RPL17,ENSG00000265681.7
SNHG22,ENSG00000267322.2
MBD1,ENSG00000141644.17
MEX3C,ENSG00000176624.11
AC093462.1,ENSG00000277324.1
POLI,ENSG00000101751.10
RAB27B,ENSG00000041353.10
TCF4,ENSG00000196628.19
WDR7,ENSG00000091157.13
AC027097.2,ENSG00000267787.7
NEDD4L,ENSG00000049759.18
ZNF532,ENSG00000074657.13
PMAIP1,ENSG00000141682.12
AC090409.1,ENSG00000267279.2
RELCH,ENSG00000134444.14
PHLPP1,ENSG00000081913.14
BCL2,ENSG00000171791.13
SERPINB2,ENSG00000197632.9
DSEL,ENSG00000171451.14
CD226,ENSG00000150637.9
LINC00909,ENSG00000264247.2
ZNF407,ENSG00000215421.9
TSHZ1,ENSG00000179981.10
ZNF516,ENSG00000101493.11
ZNF236,ENSG00000130856.16
MBP,ENSG00000197971.16
AC018529.3,ENSG00000279433.1
ATP9B,ENSG00000166377.20
AC099689.1,ENSG00000279416.1
AC125437.2,ENSG00000279474.1
HSBP1L1,ENSG00000226742.4
PARD6G,ENSG00000178184.16
WASH5P,ENSG00000282458.1
LINC01002,ENSG00000282508.2
MADCAM1,ENSG00000099866.15
GZMM,ENSG00000197540.8
FSTL3,ENSG00000070404.10
PRSS57,ENSG00000185198.11
AZU1,ENSG00000172232.10
CFD,ENSG00000197766.8
R3HDM4,ENSG00000198858.10
ARID3A,ENSG00000116017.11
ABCA7,ENSG00000064687.13
GPX4,ENSG00000167468.17
SBNO2,ENSG00000064932.16
STK11,ENSG00000118046.16
MIDN,ENSG00000167470.12
PWWP3A,ENSG00000160953.16
MBD3,ENSG00000071655.18
REXO1,ENSG00000079313.15
AC012615.1,ENSG00000261526.2
ABHD17A,ENSG00000129968.15
AC005306.1,ENSG00000267283.1
DOT1L,ENSG00000104885.18
OAZ1,ENSG00000104904.12
PEAK3,ENSG00000188305.6
LINGO3,ENSG00000220008.3
AC104530.1,ENSG00000288156.1
SPPL2B,ENSG00000005206.17
GADD45B,ENSG00000099860.9
GNG7,ENSG00000176533.13
ZNF554,ENSG00000172006.12
ZNF555,ENSG00000186300.12
TBXA2R,ENSG00000006638.13
CACTIN,ENSG00000105298.14
PIP5K1C,ENSG00000186111.10
MATK,ENSG00000007264.15
ZBTB7A,ENSG00000178951.9
EBI3,ENSG00000105246.6
TMIGD2,ENSG00000167664.8
UBXN6,ENSG00000167671.12
LRG1,ENSG00000171236.10
SEMA6B,ENSG00000167680.16
ARRDC5,ENSG00000205784.4
UHRF1,ENSG00000276043.5
KDM4B,ENSG00000127663.15
CAPS,ENSG00000105519.18
RFX2,ENSG00000087903.13
MLLT1,ENSG00000130382.9
TNFSF9,ENSG00000125657.5
CD70,ENSG00000125726.11
TNFSF14,ENSG00000125735.10
ZNF557,ENSG00000130544.12
INSR,ENSG00000171105.14
AC119396.1,ENSG00000263264.2
ARHGEF18,ENSG00000104880.18
ZNF358,ENSG00000198816.7
MCOLN1,ENSG00000090674.16
PNPLA6,ENSG00000032444.16
AC008763.1,ENSG00000268204.1
STXBP2,ENSG00000076944.16
RETN,ENSG00000104918.8
MCEMP1,ENSG00000183019.7
TRAPPC5,ENSG00000181029.9
FCER2,ENSG00000104921.15
CLEC4G,ENSG00000182566.13
MAP2K7,ENSG00000076984.17
CD320,ENSG00000167775.11
MARCHF2,ENSG00000099785.10
PRAM1,ENSG00000133246.12
MYO1F,ENSG00000142347.19
ADAMTS10,ENSG00000142303.14
ZNF558,ENSG00000167785.9
ZNF699,ENSG00000196110.8
ZNF559,ENSG00000188321.13
ZNF266,ENSG00000174652.19
ZNF426,ENSG00000130818.12
P2RY11,ENSG00000244165.2
ICAM1,ENSG00000090339.9
ZGLP1,ENSG00000220201.7
PDE4A,ENSG00000065989.16
S1PR5,ENSG00000180739.14
CDKN2D,ENSG00000129355.7
SLC44A2,ENSG00000129353.15
C19orf38,ENSG00000214212.9
LDLR,ENSG00000130164.14
AC011472.2,ENSG00000267174.5
RAB3D,ENSG00000105514.8
CCDC159,ENSG00000183401.12
PLPPR2,ENSG00000105520.10
EPOR,ENSG00000187266.14
ZNF653,ENSG00000161914.10
ZNF627,ENSG00000198551.10
ZNF441,ENSG00000197044.11
ZNF440,ENSG00000171295.13
ZNF439,ENSG00000171291.8
ZNF700,ENSG00000196757.8
ZNF844,ENSG00000223547.10
ZNF44,ENSG00000197857.14
ZNF563,ENSG00000188868.14
ZNF791,ENSG00000173875.14
RPL10P16,ENSG00000178464.6
TNPO2,ENSG00000105576.15
JUNB,ENSG00000171223.6
NFIX,ENSG00000008441.16
LYL1,ENSG00000104903.5
TRMT1,ENSG00000104907.12
IER2,ENSG00000160888.7
AC011446.2,ENSG00000267598.1
AC020916.1,ENSG00000267519.6
CC2D1A,ENSG00000132024.17
RFX1,ENSG00000132005.9
MISP3,ENSG00000141854.9
AC022098.1,ENSG00000267169.2
ADGRL1,ENSG00000072071.16
ADGRE5,ENSG00000123146.20
AC008569.2,ENSG00000267474.1
DNAJB1,ENSG00000132002.8
ADGRE3,ENSG00000131355.15
ZNF333,ENSG00000160961.12
ADGRE2,ENSG00000127507.18
RASAL3,ENSG00000105122.13
PGLYRP2,ENSG00000161031.13
TPM4,ENSG00000167460.17
AC008894.3,ENSG00000279198.1
HSH2D,ENSG00000196684.12
AC020911.2,ENSG00000267275.1
KLF2,ENSG00000127528.6
EPS15L1,ENSG00000127527.14
AC008764.8,ENSG00000279529.1
AC008764.7,ENSG00000269578.1
AC024075.2,ENSG00000269044.2
TMEM38A,ENSG00000072954.7
SIN3B,ENSG00000127511.9
CPAMD8,ENSG00000160111.13
MYO9B,ENSG00000099331.13
ANO8,ENSG00000074855.11
BISPR,ENSG00000282851.2
SLC27A1,ENSG00000130304.17
AC010618.3,ENSG00000269439.6
NIBAN3,ENSG00000167483.18
COLGALT1,ENSG00000130309.11
FCHO1,ENSG00000130475.14
MAST3,ENSG00000099308.10
IFI30,ENSG00000216490.4
JUND,ENSG00000130522.6
PGPEP1,ENSG00000130517.14
LRRC25,ENSG00000175489.10
ELL,ENSG00000105656.13
CRTC1,ENSG00000105662.16
UPF1,ENSG00000005007.13
HOMER3,ENSG00000051128.19
SUGP2,ENSG00000064607.17
SLC25A42,ENSG00000181035.14
MAU2,ENSG00000129933.21
PBX4,ENSG00000105717.14
LPAR2,ENSG00000064547.14
ZNF56,ENSG00000267419.2
ZNF506,ENSG00000081665.14
ZNF253,ENSG00000256771.4
ZNF737,ENSG00000237440.9
ZNF66,ENSG00000160229.13
ZNF431,ENSG00000196705.8
ZNF708,ENSG00000182141.10
ZNF493,ENSG00000196268.11
ZNF429,ENSG00000197013.10
AC123912.4,ENSG00000268555.2
ZNF43,ENSG00000198521.12
AC092329.4,ENSG00000284428.1
ZNF91,ENSG00000167232.14
AC092279.1,ENSG00000268362.6
LINC00662,ENSG00000261824.7
PLEKHF1,ENSG00000166289.6
C19orf12,ENSG00000131943.18
TSHZ3,ENSG00000121297.8
ZNF507,ENSG00000168813.17
DPY19L3,ENSG00000178904.19
LRP3,ENSG00000130881.14
CEBPA,ENSG00000245848.3
KCTD15,ENSG00000153885.14
KIAA0355,ENSG00000166398.13
ZNF302,ENSG00000089335.21
AC020910.5,ENSG00000274104.1
ZNF181,ENSG00000197841.15
AC008555.4,ENSG00000271109.2
ZNF30,ENSG00000168661.14
ZNF792,ENSG00000180884.10
SCN1B,ENSG00000105711.12
FXYD7,ENSG00000221946.8
LSR,ENSG00000105699.16
FFAR2,ENSG00000126262.4
AD000090.1,ENSG00000283907.1
ZBTB32,ENSG00000011590.14
NFKBID,ENSG00000167604.14
AD000864.1,ENSG00000280194.1
TYROBP,ENSG00000011600.12
LRFN3,ENSG00000126243.9
ZNF565,ENSG00000196357.12
LINC00665,ENSG00000232677.8
ZFP14,ENSG00000142065.14
ZFP82,ENSG00000181007.9
ZNF566,ENSG00000186017.14
ZNF260,ENSG00000254004.7
ZNF529-AS1,ENSG00000233527.9
ZNF567,ENSG00000189042.13
ZNF790-AS1,ENSG00000267254.7
ZNF790,ENSG00000197863.9
ZNF345,ENSG00000251247.11
ZNF383,ENSG00000188283.11
ZNF875,ENSG00000181666.18
ZNF570,ENSG00000171827.10
ZNF540,ENSG00000171817.17
ZNF571,ENSG00000180479.14
ZFP30,ENSG00000120784.16
ZNF573,ENSG00000189144.13
SIPA1L3,ENSG00000105738.11
SPINT2,ENSG00000167642.13
PPP1R14A,ENSG00000167641.11
C19orf33,ENSG00000167644.12
KCNK6,ENSG00000099337.5
CATSPERG,ENSG00000099338.23
RASGRP4,ENSG00000171777.16
CAPN12,ENSG00000182472.9
IFNL1,ENSG00000182393.3
LRFN1,ENSG00000128011.4
SAMD4B,ENSG00000179134.15
ZFP36,ENSG00000128016.7
PLEKHG2,ENSG00000090924.15
EID2B,ENSG00000176401.6
CLC,ENSG00000105205.7
DYRK1B,ENSG00000105204.14
PRR13P5,ENSG00000187534.6
ZNF546,ENSG00000187187.14
ZNF780B,ENSG00000128000.16
ZNF780A,ENSG00000197782.14
MAP3K10,ENSG00000130758.8
AC118344.4,ENSG00000279759.1
SERTAD1,ENSG00000197019.5
SERTAD3,ENSG00000167565.13
BLVRB,ENSG00000090013.11
LTBP4,ENSG00000090006.18
NUMBL,ENSG00000105245.9
ITPKC,ENSG00000086544.3
RAB4B,ENSG00000167578.18
TGFB1,ENSG00000105329.10
TMEM91,ENSG00000142046.15
B3GNT8,ENSG00000177191.2
AC243960.2,ENSG00000268034.1
LINC01480,ENSG00000270164.1
AC243960.1,ENSG00000268027.5
CEACAM4,ENSG00000105352.10
CEACAM3,ENSG00000170956.17
CD79A,ENSG00000105369.10
POU2F2,ENSG00000028277.21
AC010247.2,ENSG00000259436.1
CIC,ENSG00000079432.7
MEGF8,ENSG00000105429.13
CNFN,ENSG00000105427.10
CEACAM1,ENSG00000079385.22
AC005392.2,ENSG00000231412.2
CD177,ENSG00000204936.10
IRGQ,ENSG00000167378.8
PLAUR,ENSG00000011422.12
RN7SL368P,ENSG00000239948.2
KCNN4,ENSG00000104783.14
AC006213.2,ENSG00000267058.1
ZNF45,ENSG00000124459.12
ZNF155,ENSG00000204920.11
ZNF230,ENSG00000159882.13
ZNF224,ENSG00000267680.5
ZNF234,ENSG00000263002.8
ZNF235,ENSG00000159917.17
NECTIN2,ENSG00000130202.10
MARK4,ENSG00000007047.15
PPP1R37,ENSG00000104866.11
BLOC1S3,ENSG00000189114.8
FOSB,ENSG00000125740.14
RTN2,ENSG00000125744.12
PPM1N,ENSG00000213889.10
EML2-AS1,ENSG00000267757.4
GIPR,ENSG00000010310.9
DMPK,ENSG00000104936.18
DMWD,ENSG00000185800.12
SYMPK,ENSG00000125755.19
PPP5D1,ENSG00000230510.6
PTGIR,ENSG00000160013.9
GNG8,ENSG00000167414.4
AC093503.3,ENSG00000279161.1
STRN4,ENSG00000090372.15
FKRP,ENSG00000181027.11
ARHGAP35,ENSG00000160007.19
ZC3H4,ENSG00000130749.10
BBC3,ENSG00000105327.18
CCDC9,ENSG00000105321.14
C5AR1,ENSG00000197405.8
C5AR2,ENSG00000134830.6
DHX34,ENSG00000134815.19
AC010331.1,ENSG00000277383.1
BICRA,ENSG00000063169.10
PLA2G4C,ENSG00000105499.14
ZSWIM9,ENSG00000185453.13
CYTH2,ENSG00000105443.15
LMTK3,ENSG00000142235.11
DBP,ENSG00000105516.11
CA11,ENSG00000063180.9
RASIP1,ENSG00000105538.10
PPP1R15A,ENSG00000087074.8
TRPM4,ENSG00000130529.16
FLT3LG,ENSG00000090554.13
FCGRT,ENSG00000104870.13
RCN3,ENSG00000142552.8
NOSIP,ENSG00000142546.14
PRRG2,ENSG00000126460.11
PRR12,ENSG00000126464.14
RRAS,ENSG00000126458.4
AC006942.1,ENSG00000269194.1
PTOV1-AS2,ENSG00000269352.1
TBC1D17,ENSG00000104946.13
IL4I1,ENSG00000104951.16
NAPSB,ENSG00000131401.11
CLEC11A,ENSG00000105472.13
SIGLEC9,ENSG00000129450.8
SIGLEC7,ENSG00000168995.13
SIGLEC17P,ENSG00000171101.13
CD33,ENSG00000105383.15
CLDND2,ENSG00000160318.6
LIM2,ENSG00000105370.8
SIGLEC10,ENSG00000142512.15
ZNF175,ENSG00000105497.8
AC018755.4,ENSG00000273837.1
SIGLEC14,ENSG00000254415.3
SPACA6,ENSG00000182310.14
FPR1,ENSG00000171051.8
FPR2,ENSG00000171049.9
ZNF577,ENSG00000161551.14
ZNF649,ENSG00000198093.11
ZNF432,ENSG00000256087.7
ZNF841,ENSG00000197608.11
ZNF616,ENSG00000204611.7
ZNF836,ENSG00000196267.12
ZNF528,ENSG00000167555.14
ZNF808,ENSG00000198482.13
ZNF701,ENSG00000167562.12
ZNF83,ENSG00000167766.18
ZNF611,ENSG00000213020.10
ZNF600,ENSG00000189190.10
ZNF28,ENSG00000198538.11
ZNF320,ENSG00000182986.14
ZNF888,ENSG00000213793.5
ZNF160,ENSG00000170949.17
ZNF347,ENSG00000197937.12
ZNF665,ENSG00000197497.11
AC092070.2,ENSG00000269001.2
ZNF525,ENSG00000203326.12
ZNF813,ENSG00000198346.11
ZNF331,ENSG00000130844.18
NLRP12,ENSG00000142405.22
MYADM-AS1,ENSG00000228323.2
MYADM,ENSG00000179820.16
VSTM1,ENSG00000189068.11
OSCAR,ENSG00000170909.13
CNOT3,ENSG00000088038.19
TMC4,ENSG00000167608.11
LILRB3,ENSG00000204577.11
LILRA6,ENSG00000244482.10
LILRB2,ENSG00000131042.14
LILRA5,ENSG00000187116.14
LILRA4,ENSG00000239961.3
LAIR1,ENSG00000167613.16
LENG8-AS1,ENSG00000226696.6
LENG8,ENSG00000167615.16
LAIR2,ENSG00000167618.10
KIR3DX1,ENSG00000104970.11
LILRA2,ENSG00000239998.6
LILRA1,ENSG00000104974.12
LILRB1,ENSG00000104972.15
LILRB4,ENSG00000186818.12
KIR2DL3,ENSG00000243772.8
KIR2DL1,ENSG00000125498.20
KIR2DL4,ENSG00000189013.14
KIR3DL1,ENSG00000167633.18
KIR2DS4,ENSG00000221957.8
KIR3DL2,ENSG00000240403.5
FCAR,ENSG00000186431.19
NCR1,ENSG00000189430.13
GP6,ENSG00000088053.11
EPS8L1,ENSG00000131037.15
PPP1R12C,ENSG00000125503.13
TNNT1,ENSG00000105048.17
TMEM86B,ENSG00000180089.6
TMEM150B,ENSG00000180061.10
UBE2S,ENSG00000108106.14
FIZ1,ENSG00000179943.8
ZNF865,ENSG00000261221.3
ZNF542P,ENSG00000240225.10
ZNF583,ENSG00000198440.9
ZNF805,ENSG00000204524.7
ZNF460,ENSG00000197714.9
AC005261.1,ENSG00000268205.1
ZNF543,ENSG00000178229.8
ZNF548,ENSG00000188785.12
ZNF773,ENSG00000152439.13
ZNF549,ENSG00000121406.9
ZNF550,ENSG00000251369.8
ZNF671,ENSG00000083814.13
ZNF776,ENSG00000152443.13
ZNF552,ENSG00000178935.5
ZNF814,ENSG00000204514.10
ZNF587,ENSG00000198466.12
AC010326.4,ENSG00000270804.1
ZNF417,ENSG00000173480.11
ZNF606,ENSG00000166704.11
AC008969.1,ENSG00000176593.8
ZSCAN18,ENSG00000121413.12
ZNF329,ENSG00000181894.15
ZNF274,ENSG00000171606.18
ZNF324,ENSG00000083812.12
ZNF446,ENSG00000083838.16
MZF1-AS1,ENSG00000267858.6
SOX12,ENSG00000177732.8
TBC1D20,ENSG00000125875.14
FAM110A,ENSG00000125898.13
SNPH,ENSG00000101298.15
SDCBP2-AS1,ENSG00000234684.7
SIRPB2,ENSG00000196209.13
SIRPB1,ENSG00000101307.16
SIRPA,ENSG00000198053.11
STK35,ENSG00000125834.13
PCED1A,ENSG00000132635.17
ATRN,ENSG00000088812.18
SIGLEC1,ENSG00000088827.12
CDC25B,ENSG00000101224.17
MAVS,ENSG00000088888.18
RNF24,ENSG00000101236.17
FTLP3,ENSG00000226608.3
SMOX,ENSG00000088826.18
RASSF2,ENSG00000101265.16
PCNA,ENSG00000132646.11
GPCPD1,ENSG00000125772.14
PLCB1,ENSG00000182621.18
JAG1,ENSG00000101384.12
BTBD3,ENSG00000132640.15
BFSP1,ENSG00000125864.14
DZANK1,ENSG00000089091.16
LINC00653,ENSG00000273148.1
RIN2,ENSG00000132669.13
RALGAPA2,ENSG00000188559.15
THBD,ENSG00000178726.7
CD93,ENSG00000125810.10
GZF1,ENSG00000125812.16
NAPB,ENSG00000125814.17
CST3,ENSG00000101439.9
CST7,ENSG00000077984.6
APMAP,ENSG00000101474.12
ACSS1,ENSG00000154930.15
PYGB,ENSG00000100994.12
ZNF337-AS1,ENSG00000213742.7
ZNF337,ENSG00000130684.14
LINC01597,ENSG00000205611.5
ID1,ENSG00000125968.9
BCL2L1,ENSG00000171552.13
TPX2,ENSG00000088325.16
HCK,ENSG00000101336.15
KIF3B,ENSG00000101350.8
NOL4L,ENSG00000197183.14
AL035071.1,ENSG00000260257.2
CBFA2T2,ENSG00000078699.22
ZNF341,ENSG00000131061.14
MAP1LC3A,ENSG00000101460.13
NCOA6,ENSG00000198646.14
TP53INP2,ENSG00000078804.13
GGT7,ENSG00000131067.17
PROCR,ENSG00000101000.6
CEP250,ENSG00000126001.16
NORAD,ENSG00000260032.2
MYL9,ENSG00000101335.10
SLA2,ENSG00000101082.14
SOGA1,ENSG00000149639.15
SRC,ENSG00000197122.11
BPI,ENSG00000101425.14
RALGAPB,ENSG00000170471.15
MAFB,ENSG00000204103.4
PLCG1,ENSG00000124181.14
CHD6,ENSG00000124177.15
SRSF6,ENSG00000124193.16
L3MBTL1,ENSG00000185513.16
TOX2,ENSG00000124191.18
OSER1-DT,ENSG00000223891.6
PKIG,ENSG00000168734.14
PABPC1L,ENSG00000101104.13
SDC4,ENSG00000124145.6
UBE2C,ENSG00000175063.17
TNNC2,ENSG00000101470.10
ZSWIM3,ENSG00000132801.7
CTSA,ENSG00000064601.19
AL162458.1,ENSG00000285796.1
ZNF335,ENSG00000198026.8
MMP9,ENSG00000100985.7
CD40,ENSG00000101017.14
ZMYND8,ENSG00000101040.19
SULF2,ENSG00000196562.14
ARFGEF2,ENSG00000124198.9
PTGIS,ENSG00000124212.6
B4GALT5,ENSG00000158470.5
SLC9A8,ENSG00000197818.11
TMEM189,ENSG00000240849.11
CEBPB,ENSG00000172216.6
SMIM25,ENSG00000224397.7
TMSB4XP6,ENSG00000230043.1
ADNP,ENSG00000101126.18
NFATC2,ENSG00000101096.20
ATP9A,ENSG00000054793.14
TSHZ2,ENSG00000182463.16
DOK5,ENSG00000101134.12
AL109955.1,ENSG00000218018.3
RBM38,ENSG00000132819.17
ZBP1,ENSG00000124256.15
STX16,ENSG00000124222.22
NPEPL1,ENSG00000215440.12
CTSZ,ENSG00000101160.14
TUBB1,ENSG00000101162.4
ZNF831,ENSG00000124203.6
PPP1R3D,ENSG00000132825.7
MIR646HG,ENSG00000228340.6
SS18L1,ENSG00000184402.15
OSBPL2,ENSG00000130703.17
AL121832.2,ENSG00000273619.1
AL117379.1,ENSG00000273759.1
HAR1B,ENSG00000231133.8
HAR1A,ENSG00000225978.3
ARFGAP1,ENSG00000101199.13
EEF1A2,ENSG00000101210.12
HELZ2,ENSG00000130589.16
MHENCR,ENSG00000232442.1
STMN3,ENSG00000197457.10
LIME1,ENSG00000203896.10
DNAJC5,ENSG00000101152.11
C20orf204,ENSG00000196421.8
TEKT4P2,ENSG00000188681.11
ANKRD20A11P,ENSG00000215559.8
NRIP1,ENSG00000180530.11
LINC01684,ENSG00000237484.6
MIR155HG,ENSG00000234883.6
APP,ENSG00000142192.21
ADAMTS1,ENSG00000154734.15
AF165147.1,ENSG00000232855.7
MAP3K7CL,ENSG00000156265.16
BACH1,ENSG00000156273.16
TIAM1,ENSG00000156299.13
URB1-AS1,ENSG00000256073.3
CFAP298-TCP10L,ENSG00000265590.10
EVA1C,ENSG00000166979.13
SYNJ1,ENSG00000159082.18
PAXBP1-AS1,ENSG00000238197.6
C21orf62-AS1,ENSG00000205930.10
OLIG1,ENSG00000184221.13
IL10RB-DT,ENSG00000223799.1
IFNGR2,ENSG00000159128.14
ITSN1,ENSG00000205726.15
LINC00649,ENSG00000237945.7
SLC5A3,ENSG00000198743.7
KCNE1,ENSG00000180509.12
RUNX1,ENSG00000159216.18
DOP1B,ENSG00000142197.12
AP000692.2,ENSG00000273199.1
HLCS,ENSG00000159267.14
DYRK1A,ENSG00000157540.21
KCNJ15,ENSG00000157551.19
ETS2,ENSG00000157557.13
BACE2,ENSG00000182240.16
MX2,ENSG00000183486.13
MX1,ENSG00000157601.14
PRDM15,ENSG00000141956.13
C2CD2,ENSG00000157617.17
ABCG1,ENSG00000160179.18
SLC37A1,ENSG00000160190.14
U2AF1,ENSG00000160201.11
AATBC,ENSG00000215458.8
LINC01678,ENSG00000225331.1
AIRE,ENSG00000160224.17
TRPM2,ENSG00000142185.16
PTTG1IP,ENSG00000183255.12
ITGB2-AS1,ENSG00000227039.6
COL6A2,ENSG00000142173.16
LSS,ENSG00000160285.15
MCM3AP-AS1,ENSG00000215424.10
C21orf58,ENSG00000160298.18
PCNT,ENSG00000160299.17
DIP2A,ENSG00000160305.18
DIP2A-IT1,ENSG00000223692.1
S100B,ENSG00000160307.10
IL17RA,ENSG00000177663.14
TMEM121B,ENSG00000183307.4
ADA2,ENSG00000093072.18
LINC00528,ENSG00000269220.1
MICAL3,ENSG00000243156.9
PEX26,ENSG00000215193.13
TUBA8,ENSG00000183785.15
DGCR6,ENSG00000183628.14
PRODH,ENSG00000100033.16
DGCR2,ENSG00000070413.20
LINC01311,ENSG00000260924.2
CLTCL1,ENSG00000070371.16
CLDN5,ENSG00000184113.9
ARVCF,ENSG00000099889.14
TANGO2,ENSG00000183597.16
DGCR8,ENSG00000128191.16
RTN4R,ENSG00000040608.14
ZNF74,ENSG00000185252.19
SCARF2,ENSG00000244486.9
CRKL,ENSG00000099942.13
LINC01637,ENSG00000237476.1
LZTR1,ENSG00000099949.21
PPIL2,ENSG00000100023.19
YPEL1,ENSG00000100027.16
MAPK1,ENSG00000100030.15
PPM1F,ENSG00000100034.14
PPM1F-AS1,ENSG00000224086.6
TOP3B,ENSG00000100038.19
AC245060.5,ENSG00000274422.1
IGLC2,ENSG00000211677.2
BCR,ENSG00000186716.21
FBXW4P1,ENSG00000230701.2
GUSBP11,ENSG00000228315.12
AP000347.1,ENSG00000272578.5
ZNF70,ENSG00000187792.5
DERL3,ENSG00000099958.15
SLC2A11,ENSG00000133460.19
MIF,ENSG00000240972.2
GGT5,ENSG00000099998.17
SPECC1L,ENSG00000100014.20
LRRC75B,ENSG00000178026.13
SGSM1,ENSG00000167037.18
KIAA1671,ENSG00000197077.13
LRP5L,ENSG00000100068.13
GRK3,ENSG00000100077.15
HPS4,ENSG00000100099.20
TPST2,ENSG00000128294.16
MIAT,ENSG00000225783.8
MIATNB,ENSG00000244625.7
CCDC117,ENSG00000159873.10
Z93930.2,ENSG00000226471.6
KREMEN1,ENSG00000183762.12
GAS2L1,ENSG00000185340.15
MTMR3,ENSG00000100330.16
AC003681.1,ENSG00000279159.1
LIF,ENSG00000128342.5
OSM,ENSG00000099985.4
TCN2,ENSG00000185339.9
DUSP18,ENSG00000167065.13
OSBP2,ENSG00000184792.16
TUG1,ENSG00000253352.9
SELENOM,ENSG00000198832.10
LIMK2,ENSG00000182541.18
PIK3IP1,ENSG00000100100.13
EIF4ENIF1,ENSG00000184708.18
SFI1,ENSG00000198089.16
PISD,ENSG00000241878.11
PRR14L,ENSG00000183530.14
DEPDC5,ENSG00000100150.20
YWHAH,ENSG00000128245.15
TOM1,ENSG00000100284.21
HMOX1,ENSG00000100292.17
MCM5,ENSG00000100297.16
APOL1,ENSG00000100342.21
CSF2RB,ENSG00000100368.14
TST,ENSG00000128311.14
IL2RB,ENSG00000100385.14
C1QTNF6,ENSG00000133466.14
CYTH4,ENSG00000100055.21
LGALS2,ENSG00000100079.7
H1-0,ENSG00000189060.5
PLA2G6,ENSG00000184381.20
MAFF,ENSG00000185022.12
TPTEP2,ENSG00000244627.5
DDX17,ENSG00000100201.22
GTPBP1,ENSG00000100226.16
